Kachelname;Aktualitaet;Bildflugnummer;Koordinatenursprung_East;Koordinatenursprung_North
dop10rgbi_32_409_5682_1_nw;2018-04-06;nn;409000;5682000
dop10rgbi_32_409_5683_1_nw;2018-04-06;nn;409000;5683000
dop10rgbi_32_409_5684_1_nw;2018-04-06;nn;409000;5684000
dop10rgbi_32_409_5685_1_nw;2018-04-06;nn;409000;5685000
dop10rgbi_32_409_5686_1_nw;2018-04-06;nn;409000;5686000
dop10rgbi_32_410_5672_1_nw;2018-04-06;nn;410000;5672000
dop10rgbi_32_410_5673_1_nw;2018-04-06;nn;410000;5673000
dop10rgbi_32_410_5674_1_nw;2018-04-06;nn;410000;5674000
dop10rgbi_32_410_5675_1_nw;2018-04-06;nn;410000;5675000
dop10rgbi_32_410_5676_1_nw;2018-04-06;nn;410000;5676000
dop10rgbi_32_410_5682_1_nw;2018-04-06;nn;410000;5682000
dop10rgbi_32_410_5683_1_nw;2018-04-06;nn;410000;5683000
dop10rgbi_32_410_5684_1_nw;2018-04-06;nn;410000;5684000
dop10rgbi_32_410_5685_1_nw;2018-04-06;nn;410000;5685000
dop10rgbi_32_410_5686_1_nw;2018-04-06;nn;410000;5686000
dop10rgbi_32_411_5672_1_nw;2018-04-06;nn;411000;5672000
dop10rgbi_32_411_5673_1_nw;2018-04-06;nn;411000;5673000
dop10rgbi_32_411_5674_1_nw;2018-04-06;nn;411000;5674000
dop10rgbi_32_411_5676_1_nw;2018-04-06;nn;411000;5676000
dop10rgbi_32_411_5677_1_nw;2018-04-06;nn;411000;5677000
dop10rgbi_32_411_5682_1_nw;2018-04-06;nn;411000;5682000
dop10rgbi_32_411_5683_1_nw;2018-04-06;nn;411000;5683000
dop10rgbi_32_411_5686_1_nw;2018-04-06;nn;411000;5686000
dop10rgbi_32_411_5687_1_nw;2018-04-06;nn;411000;5687000
dop10rgbi_32_412_5674_1_nw;2018-04-06;nn;412000;5674000
dop10rgbi_32_412_5675_1_nw;2018-04-06;nn;412000;5675000
dop10rgbi_32_412_5679_1_nw;2018-04-06;nn;412000;5679000
dop10rgbi_32_412_5680_1_nw;2018-04-06;nn;412000;5680000
dop10rgbi_32_412_5681_1_nw;2018-04-06;nn;412000;5681000
dop10rgbi_32_412_5687_1_nw;2018-04-06;nn;412000;5687000
dop10rgbi_32_413_5677_1_nw;2018-04-06;nn;413000;5677000
dop10rgbi_32_413_5678_1_nw;2018-04-06;nn;413000;5678000
dop10rgbi_32_413_5679_1_nw;2018-04-06;nn;413000;5679000
dop10rgbi_32_413_5680_1_nw;2018-04-06;nn;413000;5680000
dop10rgbi_32_413_5681_1_nw;2018-04-06;nn;413000;5681000
dop10rgbi_32_413_5687_1_nw;2018-04-06;nn;413000;5687000
dop10rgbi_32_414_5678_1_nw;2018-04-06;nn;414000;5678000
dop10rgbi_32_414_5679_1_nw;2018-04-06;nn;414000;5679000
dop10rgbi_32_414_5680_1_nw;2018-04-06;nn;414000;5680000
dop10rgbi_32_414_5681_1_nw;2018-04-06;nn;414000;5681000
dop10rgbi_32_414_5682_1_nw;2018-04-06;nn;414000;5682000
dop10rgbi_32_415_5673_1_nw;2018-04-06;nn;415000;5673000
dop10rgbi_32_415_5679_1_nw;2018-04-06;nn;415000;5679000
dop10rgbi_32_415_5680_1_nw;2018-04-06;nn;415000;5680000
dop10rgbi_32_415_5681_1_nw;2018-04-06;nn;415000;5681000
dop10rgbi_32_415_5682_1_nw;2018-04-06;nn;415000;5682000
dop10rgbi_32_415_5683_1_nw;2018-04-06;nn;415000;5683000
dop10rgbi_32_416_5672_1_nw;2018-04-06;nn;416000;5672000
dop10rgbi_32_416_5673_1_nw;2018-04-06;nn;416000;5673000
dop10rgbi_32_416_5674_1_nw;2018-04-06;nn;416000;5674000
dop10rgbi_32_416_5680_1_nw;2018-04-06;nn;416000;5680000
dop10rgbi_32_416_5682_1_nw;2018-04-06;nn;416000;5682000
dop10rgbi_32_416_5683_1_nw;2018-04-06;nn;416000;5683000
dop10rgbi_32_416_5685_1_nw;2018-04-06;nn;416000;5685000
dop10rgbi_32_417_5673_1_nw;2018-04-06;nn;417000;5673000
dop10rgbi_32_417_5674_1_nw;2018-04-06;nn;417000;5674000
dop10rgbi_32_417_5679_1_nw;2018-04-06;nn;417000;5679000
dop10rgbi_32_417_5680_1_nw;2018-04-06;nn;417000;5680000
dop10rgbi_32_417_5686_1_nw;2018-04-06;nn;417000;5686000
dop10rgbi_32_417_5687_1_nw;2018-04-06;nn;417000;5687000
dop10rgbi_32_418_5676_1_nw;2018-04-06;nn;418000;5676000
dop10rgbi_32_418_5677_1_nw;2018-04-06;nn;418000;5677000
dop10rgbi_32_418_5678_1_nw;2018-04-06;nn;418000;5678000
dop10rgbi_32_418_5679_1_nw;2018-04-06;nn;418000;5679000
dop10rgbi_32_418_5680_1_nw;2018-04-06;nn;418000;5680000
dop10rgbi_32_418_5686_1_nw;2018-04-06;nn;418000;5686000
dop10rgbi_32_418_5687_1_nw;2018-04-06;nn;418000;5687000
dop10rgbi_32_419_5676_1_nw;2018-04-06;nn;419000;5676000
dop10rgbi_32_419_5677_1_nw;2018-04-06;nn;419000;5677000
